,GRID_ID,year,hom_ct,bldg_ct,hom_rt,geometry,last_wave_end,longest_gap,max_amp
5666,AM-24,1880,0.0,0.846976618420084,0.0,"POLYGON ((-87.59165480314022 41.77982138542768, -87.59465876244525 41.774618375287616, -87.60066668105532 41.774618375287616, -87.60367064036029 41.77982138542768, -87.60066668105532 41.785024395567916, -87.59465876244525 41.785024395567916, -87.59165480314022 41.77982138542768))",2013.0,4.0,20
6026,AJ-21,1881,0.0,2.798027386066173,0.0,"POLYGON ((-87.61869043688546 41.816242456408986, -87.62169439619049 41.81103944626875, -87.62770231480056 41.81103944626875, -87.63070627410559 41.816242456408986, -87.62770231480056 41.82144546654905, -87.62169439619049 41.82144546654905, -87.61869043688546 41.816242456408986))",2012.0,5.0,24
6027,AK-21,1881,0.0,19.829269608406605,0.0,"POLYGON ((-87.60967855897036 41.81103944626875, -87.61268251827539 41.805836436128686, -87.61869043688546 41.805836436128686, -87.62169439619049 41.81103944626875, -87.61869043688546 41.816242456408986, -87.61268251827539 41.816242456408986, -87.60967855897036 41.81103944626875))",2017.0,0.0,23
6057,AJ-19,1881,0.0,4.450856964513841,0.0,"POLYGON ((-87.61869043688546 41.83705449696964, -87.62169439619049 41.83185148682958, -87.62770231480056 41.83185148682958, -87.63070627410559 41.83705449696964, -87.62770231480056 41.84225750710988, -87.62169439619049 41.84225750710988, -87.61869043688546 41.83705449696964))",1994.0,23.0,25
6080,Z-17,1881,0.0,2.549291416365525,0.0,"POLYGON ((-87.70880921603629 41.85786653753041, -87.71181317534132 41.85266352739018, -87.71782109395139 41.85266352739018, -87.72082505325636 41.85786653753041, -87.71782109395139 41.86306954767065, -87.71181317534132 41.86306954767065, -87.70880921603629 41.85786653753041))",2017.0,0.0,23
6115,X-15,1881,0.0,4.337312327520241,0.0,"POLYGON ((-87.72683297186643 41.87867857809118, -87.72983693117146 41.87347556795095, -87.73584484978153 41.87347556795095, -87.73884880908656 41.87867857809118, -87.73584484978153 41.88388158823125, -87.72983693117146 41.88388158823125, -87.72683297186643 41.87867857809118))",2017.0,0.0,20
6385,AF-4,1881,0.0,0.932058215939337,0.0,"POLYGON ((-87.6547379485458 41.993144801175106, -87.65774190785083 41.98794179103487, -87.6637498264609 41.98794179103487, -87.66675378576588 41.993144801175106, -87.6637498264609 41.99834781131517, -87.65774190785083 41.99834781131517, -87.6547379485458 41.993144801175106))",2001.0,16.0,24
6487,AM-24,1881,0.0,1.108930313036307,0.0,"POLYGON ((-87.59165480314022 41.77982138542768, -87.59465876244525 41.774618375287616, -87.60066668105532 41.774618375287616, -87.60367064036029 41.77982138542768, -87.60066668105532 41.785024395567916, -87.59465876244525 41.785024395567916, -87.59165480314022 41.77982138542768))",2013.0,4.0,20
6847,AJ-21,1882,1.0,4.855599641152083,0.205947786865461,"POLYGON ((-87.61869043688546 41.816242456408986, -87.62169439619049 41.81103944626875, -87.62770231480056 41.81103944626875, -87.63070627410559 41.816242456408986, -87.62770231480056 41.82144546654905, -87.62169439619049 41.82144546654905, -87.61869043688546 41.816242456408986))",2012.0,5.0,24
6848,AK-21,1882,0.0,25.76180178388107,0.0,"POLYGON ((-87.60967855897036 41.81103944626875, -87.61268251827539 41.805836436128686, -87.61869043688546 41.805836436128686, -87.62169439619049 41.81103944626875, -87.61869043688546 41.816242456408986, -87.61268251827539 41.816242456408986, -87.60967855897036 41.81103944626875))",2017.0,0.0,23
6878,AJ-19,1882,0.0,5.6056239180202,0.0,"POLYGON ((-87.61869043688546 41.83705449696964, -87.62169439619049 41.83185148682958, -87.62770231480056 41.83185148682958, -87.63070627410559 41.83705449696964, -87.62770231480056 41.84225750710988, -87.62169439619049 41.84225750710988, -87.61869043688546 41.83705449696964))",1994.0,23.0,25
6901,Z-17,1882,0.0,2.829167938439049,0.0,"POLYGON ((-87.70880921603629 41.85786653753041, -87.71181317534132 41.85266352739018, -87.71782109395139 41.85266352739018, -87.72082505325636 41.85786653753041, -87.71782109395139 41.86306954767065, -87.71181317534132 41.86306954767065, -87.70880921603629 41.85786653753041))",2017.0,0.0,23
6936,X-15,1882,0.0,4.964968921461968,0.0,"POLYGON ((-87.72683297186643 41.87867857809118, -87.72983693117146 41.87347556795095, -87.73584484978153 41.87347556795095, -87.73884880908656 41.87867857809118, -87.73584484978153 41.88388158823125, -87.72983693117146 41.88388158823125, -87.72683297186643 41.87867857809118))",2017.0,0.0,20
7206,AF-4,1882,0.0,0.932058215939337,0.0,"POLYGON ((-87.6547379485458 41.993144801175106, -87.65774190785083 41.98794179103487, -87.6637498264609 41.98794179103487, -87.66675378576588 41.993144801175106, -87.6637498264609 41.99834781131517, -87.65774190785083 41.99834781131517, -87.6547379485458 41.993144801175106))",2001.0,16.0,24
7308,AM-24,1882,0.0,1.37088400765253,0.0,"POLYGON ((-87.59165480314022 41.77982138542768, -87.59465876244525 41.774618375287616, -87.60066668105532 41.774618375287616, -87.60367064036029 41.77982138542768, -87.60066668105532 41.785024395567916, -87.59465876244525 41.785024395567916, -87.59165480314022 41.77982138542768))",2013.0,4.0,20
7668,AJ-21,1883,0.0,6.913171896237992,0.0,"POLYGON ((-87.61869043688546 41.816242456408986, -87.62169439619049 41.81103944626875, -87.62770231480056 41.81103944626875, -87.63070627410559 41.816242456408986, -87.62770231480056 41.82144546654905, -87.62169439619049 41.82144546654905, -87.61869043688546 41.816242456408986))",2012.0,5.0,24
7669,AK-21,1883,0.0,31.694333959355532,0.0,"POLYGON ((-87.60967855897036 41.81103944626875, -87.61268251827539 41.805836436128686, -87.61869043688546 41.805836436128686, -87.62169439619049 41.81103944626875, -87.61869043688546 41.816242456408986, -87.61268251827539 41.816242456408986, -87.60967855897036 41.81103944626875))",2017.0,0.0,23
7699,AJ-19,1883,0.0,6.76039087152656,0.0,"POLYGON ((-87.61869043688546 41.83705449696964, -87.62169439619049 41.83185148682958, -87.62770231480056 41.83185148682958, -87.63070627410559 41.83705449696964, -87.62770231480056 41.84225750710988, -87.62169439619049 41.84225750710988, -87.61869043688546 41.83705449696964))",1994.0,23.0,25
7722,Z-17,1883,0.0,3.109044460512573,0.0,"POLYGON ((-87.70880921603629 41.85786653753041, -87.71181317534132 41.85266352739018, -87.71782109395139 41.85266352739018, -87.72082505325636 41.85786653753041, -87.71782109395139 41.86306954767065, -87.71181317534132 41.86306954767065, -87.70880921603629 41.85786653753041))",2017.0,0.0,23
7757,X-15,1883,0.0,5.592625515403695,0.0,"POLYGON ((-87.72683297186643 41.87867857809118, -87.72983693117146 41.87347556795095, -87.73584484978153 41.87347556795095, -87.73884880908656 41.87867857809118, -87.73584484978153 41.88388158823125, -87.72983693117146 41.88388158823125, -87.72683297186643 41.87867857809118))",2017.0,0.0,20
8027,AF-4,1883,0.0,0.932058215939337,0.0,"POLYGON ((-87.6547379485458 41.993144801175106, -87.65774190785083 41.98794179103487, -87.6637498264609 41.98794179103487, -87.66675378576588 41.993144801175106, -87.6637498264609 41.99834781131517, -87.65774190785083 41.99834781131517, -87.6547379485458 41.993144801175106))",2001.0,16.0,24
8129,AM-24,1883,0.0,1.632837702268753,0.0,"POLYGON ((-87.59165480314022 41.77982138542768, -87.59465876244525 41.774618375287616, -87.60066668105532 41.774618375287616, -87.60367064036029 41.77982138542768, -87.60066668105532 41.785024395567916, -87.59465876244525 41.785024395567916, -87.59165480314022 41.77982138542768))",2013.0,4.0,20
8489,AJ-21,1884,0.0,8.970744151323903,0.0,"POLYGON ((-87.61869043688546 41.816242456408986, -87.62169439619049 41.81103944626875, -87.62770231480056 41.81103944626875, -87.63070627410559 41.816242456408986, -87.62770231480056 41.82144546654905, -87.62169439619049 41.82144546654905, -87.61869043688546 41.816242456408986))",2012.0,5.0,24
8490,AK-21,1884,0.0,37.626866134829996,0.0,"POLYGON ((-87.60967855897036 41.81103944626875, -87.61268251827539 41.805836436128686, -87.61869043688546 41.805836436128686, -87.62169439619049 41.81103944626875, -87.61869043688546 41.816242456408986, -87.61268251827539 41.816242456408986, -87.60967855897036 41.81103944626875))",2017.0,0.0,23
8520,AJ-19,1884,1.0,7.915157825032919,0.126339868655221,"POLYGON ((-87.61869043688546 41.83705449696964, -87.62169439619049 41.83185148682958, -87.62770231480056 41.83185148682958, -87.63070627410559 41.83705449696964, -87.62770231480056 41.84225750710988, -87.62169439619049 41.84225750710988, -87.61869043688546 41.83705449696964))",1994.0,23.0,25
8543,Z-17,1884,0.0,3.388920982586097,0.0,"POLYGON ((-87.70880921603629 41.85786653753041, -87.71181317534132 41.85266352739018, -87.71782109395139 41.85266352739018, -87.72082505325636 41.85786653753041, -87.71782109395139 41.86306954767065, -87.71181317534132 41.86306954767065, -87.70880921603629 41.85786653753041))",2017.0,0.0,23
8578,X-15,1884,0.0,6.220282109345422,0.0,"POLYGON ((-87.72683297186643 41.87867857809118, -87.72983693117146 41.87347556795095, -87.73584484978153 41.87347556795095, -87.73884880908656 41.87867857809118, -87.73584484978153 41.88388158823125, -87.72983693117146 41.88388158823125, -87.72683297186643 41.87867857809118))",2017.0,0.0,20
