,GRID_ID,year,hom_ct,bldg_ct,hom_rt,geometry,last_wave_end,longest_gap
91363,X-23,1994,0.0,1180.3333416365317,0.0,"POLYGON ((-87.72683297186643 41.795430415848216, -87.72983693117146 41.79022740570815, -87.73584484978153 41.79022740570815, -87.73884880908656 41.795430415848216, -87.73584484978153 41.80063342598845, -87.72983693117146 41.80063342598845, -87.72683297186643 41.795430415848216))",1930.0,87.0
91406,AF-21,1994,0.0,144.29627987225265,0.0,"POLYGON ((-87.6547379485458 41.816242456408986, -87.65774190785083 41.81103944626875, -87.6637498264609 41.81103944626875, -87.66675378576588 41.816242456408986, -87.6637498264609 41.82144546654905, -87.65774190785083 41.82144546654905, -87.6547379485458 41.816242456408986))",1931.0,86.0
91407,AG-21,1994,0.0,178.88572064306553,0.0,"POLYGON ((-87.6457260706307 41.81103944626875, -87.64873002993573 41.805836436128686, -87.6547379485458 41.805836436128686, -87.65774190785083 41.81103944626875, -87.6547379485458 41.816242456408986, -87.64873002993573 41.816242456408986, -87.6457260706307 41.81103944626875))",1900.0,117.0
91456,AH-18,1994,0.0,557.6242914509867,0.0,"POLYGON ((-87.63671419271566 41.84746051725011, -87.63971815202063 41.84225750710988, -87.6457260706307 41.84225750710988, -87.64873002993573 41.84746051725011, -87.6457260706307 41.85266352739018, -87.63971815202063 41.85266352739018, -87.63671419271566 41.84746051725011))",1931.0,86.0
91510,AI-15,1994,0.0,183.08203629257164,0.0,"POLYGON ((-87.62770231480056 41.87347556795095, -87.63070627410559 41.86827255781071, -87.63671419271566 41.86827255781071, -87.63971815202063 41.87347556795095, -87.63671419271566 41.87867857809118, -87.63070627410559 41.87867857809118, -87.62770231480056 41.87347556795095))",1930.0,87.0
91528,AH-14,1994,0.0,227.75622961651047,0.0,"POLYGON ((-87.63671419271566 41.88908459837148, -87.63971815202063 41.88388158823125, -87.6457260706307 41.88388158823125, -87.64873002993573 41.88908459837148, -87.6457260706307 41.89428760851155, -87.63971815202063 41.89428760851155, -87.63671419271566 41.88908459837148))",1901.0,116.0
91565,AF-12,1994,0.0,308.3279770561722,0.0,"POLYGON ((-87.6547379485458 41.90989663893214, -87.65774190785083 41.904693628792074, -87.6637498264609 41.904693628792074, -87.66675378576588 41.90989663893214, -87.6637498264609 41.915099649072374, -87.65774190785083 41.915099649072374, -87.6547379485458 41.90989663893214))",1908.0,109.0
91573,S-11,1994,2.0,813.8015858468615,0.00245760150236,"POLYGON ((-87.77189236144187 41.915099649072374, -87.77489632074685 41.90989663893214, -87.78090423935691 41.90989663893214, -87.78390819866195 41.915099649072374, -87.78090423935691 41.92030265921261, -87.77489632074685 41.92030265921261, -87.77189236144187 41.915099649072374))",1930.0,87.0
91601,AB-10,1994,1.0,1036.9217738205498,0.000964392903348,"POLYGON ((-87.69078546020614 41.93070867949291, -87.69378941951112 41.925505669352674, -87.69979733812119 41.925505669352674, -87.70280129742622 41.93070867949291, -87.69979733812119 41.935911689633144, -87.69378941951112 41.935911689633144, -87.69078546020614 41.93070867949291))",1955.0,62.0
91648,V-8,1994,0.0,1103.2491967692856,0.0,"POLYGON ((-87.74485672769663 41.95152072005351, -87.7478606870016 41.946317709913444, -87.75386860561167 41.946317709913444, -87.7568725649167 41.95152072005351, -87.75386860561167 41.956723730193744, -87.7478606870016 41.956723730193744, -87.74485672769663 41.95152072005351))",1931.0,86.0
91882,AM-23,1994,0.0,220.85280647864363,0.0,"POLYGON ((-87.59165480314022 41.79022740570815, -87.59465876244525 41.785024395567916, -87.60066668105532 41.785024395567916, -87.60367064036029 41.79022740570815, -87.60066668105532 41.795430415848216, -87.59465876244525 41.795430415848216, -87.59165480314022 41.79022740570815))",1930.0,87.0
91884,AO-23,1994,0.0,19.12076762787305,0.0,"POLYGON ((-87.57363104731007 41.79022740570815, -87.57663500661505 41.785024395567916, -87.58264292522512 41.785024395567916, -87.58564688453015 41.79022740570815, -87.58264292522512 41.795430415848216, -87.57663500661505 41.795430415848216, -87.57363104731007 41.79022740570815))",1922.0,95.0
92184,X-23,1995,0.0,1182.946016966949,0.0,"POLYGON ((-87.72683297186643 41.795430415848216, -87.72983693117146 41.79022740570815, -87.73584484978153 41.79022740570815, -87.73884880908656 41.795430415848216, -87.73584484978153 41.80063342598845, -87.72983693117146 41.80063342598845, -87.72683297186643 41.795430415848216))",1930.0,87.0
92227,AF-21,1995,0.0,144.30528284376584,0.0,"POLYGON ((-87.6547379485458 41.816242456408986, -87.65774190785083 41.81103944626875, -87.6637498264609 41.81103944626875, -87.66675378576588 41.816242456408986, -87.6637498264609 41.82144546654905, -87.65774190785083 41.82144546654905, -87.6547379485458 41.816242456408986))",1931.0,86.0
92228,AG-21,1995,1.0,181.97185285083003,0.005495355376855,"POLYGON ((-87.6457260706307 41.81103944626875, -87.64873002993573 41.805836436128686, -87.6547379485458 41.805836436128686, -87.65774190785083 41.81103944626875, -87.6547379485458 41.816242456408986, -87.64873002993573 41.816242456408986, -87.6457260706307 41.81103944626875))",1900.0,117.0
92277,AH-18,1995,0.0,567.7049414011741,0.0,"POLYGON ((-87.63671419271566 41.84746051725011, -87.63971815202063 41.84225750710988, -87.6457260706307 41.84225750710988, -87.64873002993573 41.84746051725011, -87.6457260706307 41.85266352739018, -87.63971815202063 41.85266352739018, -87.63671419271566 41.84746051725011))",1931.0,86.0
92331,AI-15,1995,0.0,189.39490609723515,0.0,"POLYGON ((-87.62770231480056 41.87347556795095, -87.63070627410559 41.86827255781071, -87.63671419271566 41.86827255781071, -87.63971815202063 41.87347556795095, -87.63671419271566 41.87867857809118, -87.63070627410559 41.87867857809118, -87.62770231480056 41.87347556795095))",1930.0,87.0
92349,AH-14,1995,0.0,227.0927726550867,0.0,"POLYGON ((-87.63671419271566 41.88908459837148, -87.63971815202063 41.88388158823125, -87.6457260706307 41.88388158823125, -87.64873002993573 41.88908459837148, -87.6457260706307 41.89428760851155, -87.63971815202063 41.89428760851155, -87.63671419271566 41.88908459837148))",1901.0,116.0
92386,AF-12,1995,1.0,311.79017098083074,0.003207285197138,"POLYGON ((-87.6547379485458 41.90989663893214, -87.65774190785083 41.904693628792074, -87.6637498264609 41.904693628792074, -87.66675378576588 41.90989663893214, -87.6637498264609 41.915099649072374, -87.65774190785083 41.915099649072374, -87.6547379485458 41.90989663893214))",1908.0,109.0
92394,S-11,1995,0.0,814.4196327210091,0.0,"POLYGON ((-87.77189236144187 41.915099649072374, -87.77489632074685 41.90989663893214, -87.78090423935691 41.90989663893214, -87.78390819866195 41.915099649072374, -87.78090423935691 41.92030265921261, -87.77489632074685 41.92030265921261, -87.77189236144187 41.915099649072374))",1930.0,87.0
92422,AB-10,1995,0.0,1046.9125545296101,0.0,"POLYGON ((-87.69078546020614 41.93070867949291, -87.69378941951112 41.925505669352674, -87.69979733812119 41.925505669352674, -87.70280129742622 41.93070867949291, -87.69979733812119 41.935911689633144, -87.69378941951112 41.935911689633144, -87.69078546020614 41.93070867949291))",1955.0,62.0
92469,V-8,1995,0.0,1084.2344780599744,0.0,"POLYGON ((-87.74485672769663 41.95152072005351, -87.7478606870016 41.946317709913444, -87.75386860561167 41.946317709913444, -87.7568725649167 41.95152072005351, -87.75386860561167 41.956723730193744, -87.7478606870016 41.956723730193744, -87.74485672769663 41.95152072005351))",1931.0,86.0
92703,AM-23,1995,0.0,220.85280647864363,0.0,"POLYGON ((-87.59165480314022 41.79022740570815, -87.59465876244525 41.785024395567916, -87.60066668105532 41.785024395567916, -87.60367064036029 41.79022740570815, -87.60066668105532 41.795430415848216, -87.59465876244525 41.795430415848216, -87.59165480314022 41.79022740570815))",1930.0,87.0
92705,AO-23,1995,0.0,19.12076762787305,0.0,"POLYGON ((-87.57363104731007 41.79022740570815, -87.57663500661505 41.785024395567916, -87.58264292522512 41.785024395567916, -87.58564688453015 41.79022740570815, -87.58264292522512 41.795430415848216, -87.57663500661505 41.795430415848216, -87.57363104731007 41.79022740570815))",1922.0,95.0
93005,X-23,1996,0.0,1188.6836520605548,0.0,"POLYGON ((-87.72683297186643 41.795430415848216, -87.72983693117146 41.79022740570815, -87.73584484978153 41.79022740570815, -87.73884880908656 41.795430415848216, -87.73584484978153 41.80063342598845, -87.72983693117146 41.80063342598845, -87.72683297186643 41.795430415848216))",1930.0,87.0
93048,AF-21,1996,0.0,145.6243945414408,0.0,"POLYGON ((-87.6547379485458 41.816242456408986, -87.65774190785083 41.81103944626875, -87.6637498264609 41.81103944626875, -87.66675378576588 41.816242456408986, -87.6637498264609 41.82144546654905, -87.65774190785083 41.82144546654905, -87.6547379485458 41.816242456408986))",1931.0,86.0
