hominum,rdnumber,CaseNumber,Date2,year,trac2000,location,locatinr,LocationDescription,ArrestD,DomesticD,gridid,X_MetCent,Y_MetCent,All_Inside,YearFive,Population
65095,D088467, ,,1965,421000,1115,3, ,0,0,23727,361590.973255,567922.757678,1,1965 to 1969,3550404.0
65096,D089260, ,,1965,231200,2200,9, ,1,0,43694,350940.973255,580822.757678,1,1965 to 1969,3550404.0
65097,D089281, ,,1965,351400,2100,9, ,1,0,32331,359040.973255,573472.757678,1,1965 to 1969,3550404.0
65098,D091229, ,,1965,290900,2100,9, ,1,0,38094,349740.973255,577222.757678,1,1965 to 1969,3550404.0
65099,D092133, ,,1965,681400,1115,3, ,1,0,20901,357090.973255,566122.757678,1,1965 to 1969,3550404.0
65100,D094655, ,,1965,310300,2200,9, ,1,0,36744,356940.973255,576322.757678,1,1965 to 1969,3550404.0
65101,D096281, ,,1965,400100,2100,9, ,1,0,27441,359490.973255,570322.757678,1,1965 to 1969,3550404.0
65102,D099593, ,,1965,710200,1101,1, ,1,1,19734,356790.973255,565372.757678,1,1965 to 1969,3550404.0
65103,D099983, ,,1965,290900,1101,1, ,1,0,38329,350040.973255,577372.757678,1,1965 to 1969,3550404.0
65104,D087547, ,,1965,410200,2100,9, ,1,0,27453,361290.973255,570322.757678,1,1965 to 1969,3550404.0
65105,D102879, ,,1965,601000,2100,9, ,1,0,33250,357090.973255,574072.757678,1,1965 to 1969,3550404.0
65106,D102957, ,,1965,310600,2100,9, ,1,0,36970,355890.973255,576472.757678,1,1965 to 1969,3550404.0
65107,D102957, ,,1965,310600,2100,9, ,1,0,36970,355890.973255,576472.757678,1,1965 to 1969,3550404.0
65108,D102949, ,,1965,380200,1101,1, ,1,0,30937,359640.973255,572572.757678,1,1965 to 1969,3550404.0
65109,D104071, ,,1965,600800,1401,11, ,1,0,33012,356340.973255,573922.757678,1,1965 to 1969,3550404.0
65110,D104071, ,,1965,600800,1401,11, ,1,0,33012,356340.973255,573922.757678,1,1965 to 1969,3550404.0
65111,D106969, ,,1965,281300,2100,9, ,1,0,40454,354240.973255,578722.757678,1,1965 to 1969,3550404.0
65112,D108510, ,,1965,691000,2400,7, ,0,0,20914,359040.973255,566122.757678,1,1965 to 1969,3550404.0
65114,D110370, ,,1965,420300,1101,1, ,1,1,23956,360990.973255,568072.757678,1,1965 to 1969,3550404.0
65115,D109587, ,,1965,291300,1101,1, ,0,0,38110,352140.973255,577222.757678,1,1965 to 1969,3550404.0
65116,D111629, ,,1965,390300,1101,1, ,1,0,29079,360540.973255,571372.757678,1,1965 to 1969,3550404.0
65117,D111629, ,,1965,390300,1101,1, ,1,0,29079,360540.973255,571372.757678,1,1965 to 1969,3550404.0
65118,D111629, ,,1965,390300,1101,1, ,1,0,29079,360540.973255,571372.757678,1,1965 to 1969,3550404.0
65119,D111629, ,,1965,390300,1101,1, ,1,0,29079,360540.973255,571372.757678,1,1965 to 1969,3550404.0
65120,D111629, ,,1965,390300,1101,1, ,1,0,29079,360540.973255,571372.757678,1,1965 to 1969,3550404.0
65121,D112355, ,,1965,330100,1109,2, ,1,0,38620,358740.973255,577522.757678,1,1965 to 1969,3550404.0
65122,D112877, ,,1965,690800,1101,1, ,1,1,20228,360990.973255,565672.757678,1,1965 to 1969,3550404.0
65123,D112911, ,,1965,270300,1109,2, ,1,0,41369,351690.973255,579322.757678,1,1965 to 1969,3550404.0
65124,D113686, ,,1965,81100,1101,1, ,1,0,44908,358290.973255,581572.757678,1,1965 to 1969,3550404.0
65125,D114649, ,,1965,490500,2100,9, ,1,0,13696,359790.973255,561472.757678,1,1965 to 1969,3550404.0
65126,D115656, ,,1965,71800,2100,9, ,0,0,46297,356940.973255,582472.757678,1,1965 to 1969,3550404.0
65127,D116982, ,,1965,241100,1101,1, ,1,1,45806,353190.973255,582172.757678,1,1965 to 1969,3550404.0
65128,D117027, ,,1965,170100,1420,6, ,1,0,53208,345090.973255,586972.757678,1,1965 to 1969,3550404.0
65129,D117218, ,,1965,291100,2100,9, ,0,0,37869,350940.973255,577072.757678,1,1965 to 1969,3550404.0
65130,D117485, ,,1965,340400,2100,9, ,0,0,33957,358290.973255,574522.757678,1,1965 to 1969,3550404.0
65131,D118364, ,,1965,400500,2100,9, ,0,0,25342,359190.973255,568972.757678,1,1965 to 1969,3550404.0
65132,D118368, ,,1965,420200,2100,9, ,1,0,24192,361440.973255,568222.757678,1,1965 to 1969,3550404.0
65133,D101645, ,,1965,271200,2100,9, ,1,0,40907,352290.973255,579022.757678,1,1965 to 1969,3550404.0
65134,D121501, ,,1965,381400,1101,1, ,1,1,29071,359340.973255,571372.757678,1,1965 to 1969,3550404.0
65135,D123959, ,,1965,291100,2100,9, ,1,0,38335,350940.973255,577372.757678,1,1965 to 1969,3550404.0
65136,D125830, ,,1965,400300,1101,1, ,1,1,26741,359340.973255,569872.757678,1,1965 to 1969,3550404.0
65137,D126249, ,,1965,470100,1101,1, ,0,1,14172,361290.973255,561772.757678,1,1965 to 1969,3550404.0
65138,D128447, ,,1965,680700,2100,9, ,1,0,24861,356940.973255,568672.757678,1,1965 to 1969,3550404.0
65139,D111854, ,,1965,281700,2100,9, ,1,0,40930,355740.973255,579022.757678,1,1965 to 1969,3550404.0
65140,D115758, ,,1965,380400,2200,9, ,1,0,30234,359040.973255,572122.757678,1,1965 to 1969,3550404.0
65141,D121219, ,,1965,271400,2100,9, ,1,0,40668,351390.973255,578872.757678,1,1965 to 1969,3550404.0
