address,year,x,y,exact_date
5611 S. Fairfield,1923.000000000000000,-87.692314999999994,41.791592999999999,1923-03-13
1907 Ohio st.,1923.000000000000000,-87.674834000000004,41.892162999999996,1923-03-13
70 E 31st st,1923.000000000000000,-87.624499999999998,41.838504000000000,1923-03-14
Paulina and Madison Sts.,1923.000000000000000,-87.669289109999994,41.881416000000002,1923-03-15
Lavergne Av 20 ft north of Addison,1923.000000000000000,-87.751965519999999,41.945925799999998,1923-03-16
39th & Federal Sts,1923.000000000000000,-87.629013060000005,41.823653229999998,1923-03-18
73rd st. and Hoyne ave.,1923.000000000000000,-87.675790789999994,41.761004700000001,1923-03-20
1417 Division st.,1923.000000000000000,-87.663482000000002,41.903263000000003,1923-03-21
3745 Rhodes Ave.,1923.000000000000000,-87.614215000000002,41.826410000000003,1923-03-21
643 Liberty st,1923.000000000000000,-87.645493999999999,41.864063000000002,1923-03-24
2498 Blue Island,1923.000000000000000,-87.679801999999995,41.847152999999999,1923-03-26
Lincoln Park at Stockton Dr and Belden av,1923.000000000000000,-87.635707859999997,41.923817780000000,1923-03-27
18th st. and Canalport ave.,1923.000000000000000,-87.639977930000001,41.857639530000000,1923-03-28
613 Independence,1923.000000000000000,-87.719615000000005,41.873286000000000,1923-04-01
4529 Ravenswood,1923.000000000000000,-87.673845999999998,41.963909000000001,1923-04-02
6948 George st.,1923.000000000000000,-87.799738000000005,41.932806999999997,1923-04-03
627 W 43rd st,1923.000000000000000,-87.642250000000004,41.845263000000003,1923-04-05
1303 Clybourn ave.,1923.000000000000000,-87.642043000000001,41.905816000000002,1923-04-07
157 W. 31st  st.,1923.000000000000000,-87.629497999999998,41.838163000000002,1923-04-07
1951 Milwaukee,1923.000000000000000,-87.687667000000005,41.917164999999997,1923-04-08
2756 W 24th st,1923.000000000000000,-87.701115000000001,41.841802999999999,1923-04-08
2900 Flournoy,1923.000000000000000,-87.698694000000003,41.873029000000002,1923-04-09
3300N. Racine ave.,1923.000000000000000,-87.659189999999995,41.941732000000002,1923-04-09
909 Harrison st.,1923.000000000000000,-87.649619999999999,41.874234000000001,1923-04-09
847 Cambridge Ave,1923.000000000000000,-87.641615000000002,41.897140999999998,1923-04-10
2813 Dearborn,1923.000000000000000,-87.628001999999995,41.839837000000003,1923-04-10
Clybourn & Bosworth ave.,1923.000000000000000,-87.667272089999997,41.923706019999997,1923-04-11
3012 State st.,1923.000000000000000,-87.626982999999996,41.839250000000000,1923-04-11
4758 Calumet ave.,1923.000000000000000,-87.618283000000005,41.808312000000001,1923-04-12
3143 Madison,1923.000000000000000,-87.704766000000006,41.880862999999998,1923-04-15
2620 Lowe av.,1923.000000000000000,-87.642983000000001,41.845109999999998,1923-04-15
2516 Division,1923.000000000000000,-87.690177000000006,41.903137000000001,1923-04-16
63rd & Morgan sts.,1923.000000000000000,-87.649526600000002,41.779536870000001,1923-04-18
Paulina st. & Archer av.,1923.000000000000000,-87.668108939999996,41.836140420000000,1923-04-18
7745 Cottage Grove,1923.000000000000000,-87.605114999999998,41.754069999999999,1923-04-18
200 ft. south of 22nd st. on east side of Kedzie a,1923.000000000000000,-87.705155610000006,41.851534200000003,1923-04-19
7 W. 29th st.,1923.000000000000000,-87.744219999999999,41.840299999999999,1923-04-21
Roosevelt & Western,1923.000000000000000,-87.686047549999998,41.866572720000001,1923-04-23
at Comelia st and Southport ave,1923.000000000000000,-87.663967610000000,41.945207609999997,1923-04-25
62nd st. / South Park ave.,1923.000000000000000,-87.615559099999999,41.781937020000001,1923-04-28
